"node i","node j","query","t0","t1","t2"
"ua70","oa72","SELECT * FROM ""oa72"" WHERE  data < 395 ORDER BY desc LIMIT 100","19206770033642","19206770467260","19206770923334"
"ua71","oa71","SELECT * FROM ""oa71"" WHERE  data < 465 ORDER BY desc LIMIT 100","19206770945980","19206771354782","19206771829107"
"ua71","oa72","SELECT * FROM ""oa72"" WHERE  data < 182 ORDER BY desc LIMIT 100","19206771866938","19206772398890","19206772996981"
"ua71","oa73","SELECT * FROM ""oa73"" WHERE  data < 23 ORDER BY desc LIMIT 100","19206773038860","19206773760391","19206774427691"
"ua72","oa72","SELECT * FROM ""oa72"" WHERE  data < 358 ORDER BY desc LIMIT 100","19206774466642","19206775164003","19206775973955"
"ua72","oa73","SELECT * FROM ""oa73"" WHERE  data < 4 ORDER BY desc LIMIT 100","19206776027795","19206776715894","19206777369994"
"ua72","oa74","SELECT * FROM ""oa74"" WHERE  data < 81 ORDER BY desc LIMIT 100","19206777409823","19206777914662","19206778369558"
"ua73","oa73","SELECT * FROM ""oa73"" WHERE  data < 296 ORDER BY desc LIMIT 100","19206778393004","19206778768045","19206779121944"
"ua73","oa74","SELECT * FROM ""oa74"" WHERE  data < 133 ORDER BY desc LIMIT 100","19206779141429","19206779553169","19206779890059"
"ua73","oa75","SELECT * FROM ""oa75"" WHERE  data < 341 ORDER BY desc LIMIT 100","19206779930145","19206780339925","19206780677644"
"ua74","oa74","SELECT * FROM ""oa74"" WHERE  data < 141 ORDER BY desc LIMIT 100","19206780697844","19206781080313","19206781411803"
"ua74","oa75","SELECT * FROM ""oa75"" WHERE  data < 112 ORDER BY desc LIMIT 100","19206781431395","19206781819690","19206782325482"
"ua74","oa76","SELECT * FROM ""oa76"" WHERE  data < 375 ORDER BY desc LIMIT 100","19206782361956","19206783032286","19206783636690"
"ua75","oa75","SELECT * FROM ""oa75"" WHERE  data < 406 ORDER BY desc LIMIT 100","19206783675969","19206784150459","19206784595514"
"ua75","oa76","SELECT * FROM ""oa76"" WHERE  data < 499 ORDER BY desc LIMIT 100","19206784618257","19206784995896","19206785400063"
"ua75","oa77","SELECT * FROM ""oa77"" WHERE  data < 270 ORDER BY desc LIMIT 100","19206785422923","19206785811293","19206786213784"
"ua76","oa76","SELECT * FROM ""oa76"" WHERE  data < 279 ORDER BY desc LIMIT 100","19206786237117","19206786637522","19206786999371"
"ua76","oa77","SELECT * FROM ""oa77"" WHERE  data < 488 ORDER BY desc LIMIT 100","19206787022737","19206787434288","19206787795764"
"ua76","oa78","SELECT * FROM ""oa78"" WHERE  data < 217 ORDER BY desc LIMIT 100","19206787815511","19206788219854","19206788545788"
"ua77","oa77","SELECT * FROM ""oa77"" WHERE  data < 297 ORDER BY desc LIMIT 100","19206788566609","19206788959855","19206789398956"
"ua77","oa78","SELECT * FROM ""oa78"" WHERE  data < 81 ORDER BY desc LIMIT 100","19206789423055","19206789829702","19206790203943"
"ua77","oa79","SELECT * FROM ""oa79"" WHERE  data < 489 ORDER BY desc LIMIT 100","19206790227277","19206790610462","19206791103048"
"ua78","oa78","SELECT * FROM ""oa78"" WHERE  data < 110 ORDER BY desc LIMIT 100","19206791152473","19206791697576","19206792153716"
"ua78","oa79","SELECT * FROM ""oa79"" WHERE  data < 336 ORDER BY desc LIMIT 100","19206792184621","19206792617017","19206792986626"
"ua78","oa80","SELECT * FROM ""oa80"" WHERE  data < 146 ORDER BY desc LIMIT 100","19206793009328","19206793405910","19206793799683"
"ua79","oa79","SELECT * FROM ""oa79"" WHERE  data < 115 ORDER BY desc LIMIT 100","19206793824507","19206794402196","19206794834240"
"ua79","oa80","SELECT * FROM ""oa80"" WHERE  data < 392 ORDER BY desc LIMIT 100","19206794882111","19206795525482","19206796129125"
"ua79","oa81","SELECT * FROM ""oa81"" WHERE  data < 464 ORDER BY desc LIMIT 100","19206796161538","19206796575383","19206797080513"
"ua80","oa80","SELECT * FROM ""oa80"" WHERE  data < 365 ORDER BY desc LIMIT 100","19206797133303","19206797546523","19206798008397"
"ua80","oa81","SELECT * FROM ""oa81"" WHERE  data < 235 ORDER BY desc LIMIT 100","19206798034910","19206798431435","19206798915307"
"ua80","oa82","SELECT * FROM ""oa82"" WHERE  data < 471 ORDER BY desc LIMIT 100","19206798938819","19206799362442","19206799780244"
"ua81","oa81","SELECT * FROM ""oa81"" WHERE  data < 90 ORDER BY desc LIMIT 100","19206799803412","19206800235300","19206800703221"
"ua81","oa82","SELECT * FROM ""oa82"" WHERE  data < 29 ORDER BY desc LIMIT 100","19206800739430","19206801188049","19206801638514"
"ua81","oa83","SELECT * FROM ""oa83"" WHERE  data < 482 ORDER BY desc LIMIT 100","19206801667583","19206802072128","19206802494106"
"ua82","oa82","SELECT * FROM ""oa82"" WHERE  data < 211 ORDER BY desc LIMIT 100","19206802524454","19206802945925","19206803368390"
"ua82","oa83","SELECT * FROM ""oa83"" WHERE  data < 322 ORDER BY desc LIMIT 100","19206803396337","19206804057213","19206804626294"
"ua82","oa84","SELECT * FROM ""oa84"" WHERE  data < 209 ORDER BY desc LIMIT 100","19206804664205","19206805261368","19206805723046"
"ua83","oa83","SELECT * FROM ""oa83"" WHERE  data < 247 ORDER BY desc LIMIT 100","19206805786334","19206806222885","19206806626725"
"ua83","oa84","SELECT * FROM ""oa84"" WHERE  data < 36 ORDER BY desc LIMIT 100","19206806650569","19206807050986","19206807431587"
"ua83","oa85","SELECT * FROM ""oa85"" WHERE  data < 14 ORDER BY desc LIMIT 100","19206807458985","19206808073584","19206808520292"
"ua84","oa84","SELECT * FROM ""oa84"" WHERE  data < 171 ORDER BY desc LIMIT 100","19206808559053","19206809038712","19206809525351"
"ua84","oa85","SELECT * FROM ""oa85"" WHERE  data < 496 ORDER BY desc LIMIT 100","19206809558970","19206810150920","19206810589888"
"ua84","oa86","SELECT * FROM ""oa86"" WHERE  data < 278 ORDER BY desc LIMIT 100","19206810627863","19206811310396","19206811925554"
"ua85","oa85","SELECT * FROM ""oa85"" WHERE  data < 70 ORDER BY desc LIMIT 100","19206811967389","19206812623155","19206813273506"
"ua85","oa86","SELECT * FROM ""oa86"" WHERE  data < 390 ORDER BY desc LIMIT 100","19206813307473","19206813969975","19206814523261"
"ua85","oa87","SELECT * FROM ""oa87"" WHERE  data < 10 ORDER BY desc LIMIT 100","19206814558915","19206815222051","19206815877034"
"ua86","oa86","SELECT * FROM ""oa86"" WHERE  data < 49 ORDER BY desc LIMIT 100","19206815923374","19206816631221","19206817352083"
"ua86","oa87","SELECT * FROM ""oa87"" WHERE  data < 156 ORDER BY desc LIMIT 100","19206817393179","19206817920626","19206818397992"
"ua86","oa88","SELECT * FROM ""oa88"" WHERE  data < 312 ORDER BY desc LIMIT 100","19206818426499","19206818842231","19206819211639"
"ua87","oa87","SELECT * FROM ""oa87"" WHERE  data < 103 ORDER BY desc LIMIT 100","19206819234180","19206819609130","19206819918006"
"ua87","oa88","SELECT * FROM ""oa88"" WHERE  data < 93 ORDER BY desc LIMIT 100","19206819936860","19206820351578","19206820661425"
"ua87","oa89","SELECT * FROM ""oa89"" WHERE  data < 141 ORDER BY desc LIMIT 100","19206820681130","19206821064271","19206821385660"
"ua88","oa88","SELECT * FROM ""oa88"" WHERE  data < 187 ORDER BY desc LIMIT 100","19206821407766","19206821808334","19206822092147"
"ua88","oa89","SELECT * FROM ""oa89"" WHERE  data < 368 ORDER BY desc LIMIT 100","19206822111953","19206822508630","19206822811588"
"ua88","oa90","SELECT * FROM ""oa90"" WHERE  data < 96 ORDER BY desc LIMIT 100","19206822829940","19206823253378","19206823667368"
"ua89","oa89","SELECT * FROM ""oa89"" WHERE  data < 471 ORDER BY desc LIMIT 100","19206823694216","19206824090966","19206824457727"
"ua89","oa90","SELECT * FROM ""oa90"" WHERE  data < 465 ORDER BY desc LIMIT 100","19206824476703","19206824873276","19206825195004"
"ua89","oa91","SELECT * FROM ""oa91"" WHERE  data < 41 ORDER BY desc LIMIT 100","19206825222154","19206825615003","19206825948976"
"ua90","oa90","SELECT * FROM ""oa90"" WHERE  data < 381 ORDER BY desc LIMIT 100","19206825971830","19206826386100","19206826731701"
"ua90","oa91","SELECT * FROM ""oa91"" WHERE  data < 394 ORDER BY desc LIMIT 100","19206826762514","19206827306480","19206827682417"
"ua90","oa92","SELECT * FROM ""oa92"" WHERE  data < 13 ORDER BY desc LIMIT 100","19206827706002","19206828120724","19206828473342"
"ua91","oa91","SELECT * FROM ""oa91"" WHERE  data < 312 ORDER BY desc LIMIT 100","19206828498875","19206828878081","19206829236283"
"ua91","oa92","SELECT * FROM ""oa92"" WHERE  data < 458 ORDER BY desc LIMIT 100","19206829264409","19206829673756","19206830040530"
"ua91","oa93","SELECT * FROM ""oa93"" WHERE  data < 469 ORDER BY desc LIMIT 100","19206830063581","19206830478146","19206830813547"
"ua92","oa92","SELECT * FROM ""oa92"" WHERE  data < 464 ORDER BY desc LIMIT 100","19206830836636","19206831227845","19206831536133"
"ua92","oa93","SELECT * FROM ""oa93"" WHERE  data < 255 ORDER BY desc LIMIT 100","19206831554883","19206832114949","19206832584511"
"ua92","oa94","SELECT * FROM ""oa94"" WHERE  data < 54 ORDER BY desc LIMIT 100","19206832622134","19206832996096","19206833382041"
"ua93","oa93","SELECT * FROM ""oa93"" WHERE  data < 44 ORDER BY desc LIMIT 100","19206833403309","19206833822780","19206834221813"
"ua93","oa94","SELECT * FROM ""oa94"" WHERE  data < 426 ORDER BY desc LIMIT 100","19206834242472","19206834610527","19206834992171"
"ua93","oa95","SELECT * FROM ""oa95"" WHERE  data < 375 ORDER BY desc LIMIT 100","19206835020632","19206835670669","19206836241769"
"ua94","oa94","SELECT * FROM ""oa94"" WHERE  data < 478 ORDER BY desc LIMIT 100","19206836279666","19206836915524","19206837363342"
"ua94","oa95","SELECT * FROM ""oa95"" WHERE  data < 306 ORDER BY desc LIMIT 100","19206837391887","19206837788113","19206838170550"
"ua94","oa96","SELECT * FROM ""oa96"" WHERE  data < 426 ORDER BY desc LIMIT 100","19206838191453","19206838554156","19206838866512"
"ua95","oa95","SELECT * FROM ""oa95"" WHERE  data < 127 ORDER BY desc LIMIT 100","19206838887578","19206839264509","19206839669076"
"ua95","oa96","SELECT * FROM ""oa96"" WHERE  data < 481 ORDER BY desc LIMIT 100","19206839699965","19206840349805","19206840712972"
"ua95","oa97","SELECT * FROM ""oa97"" WHERE  data < 222 ORDER BY desc LIMIT 100","19206840734144","19206841117113","19206841502244"
"ua96","oa96","SELECT * FROM ""oa96"" WHERE  data < 172 ORDER BY desc LIMIT 100","19206841535610","19206842106540","19206842515571"
"ua96","oa97","SELECT * FROM ""oa97"" WHERE  data < 71 ORDER BY desc LIMIT 100","19206842539800","19206842939479","19206843496798"
"ua96","oa98","SELECT * FROM ""oa98"" WHERE  data < 299 ORDER BY desc LIMIT 100","19206843528517","19206844082416","19206844434576"
"ua97","oa97","SELECT * FROM ""oa97"" WHERE  data < 107 ORDER BY desc LIMIT 100","19206844456476","19206844853870","19206845249021"
"ua97","oa98","SELECT * FROM ""oa98"" WHERE  data < 401 ORDER BY desc LIMIT 100","19206845279868","19206845911571","19206846405280"
"ua97","oa99","SELECT * FROM ""oa99"" WHERE  data < 104 ORDER BY desc LIMIT 100","19206846438649","19206846841620","19206847208374"
"ua98","oa98","SELECT * FROM ""oa98"" WHERE  data < 119 ORDER BY desc LIMIT 100","19206847229499","19206847602501","19206847900257"
"ua98","oa99","SELECT * FROM ""oa99"" WHERE  data < 377 ORDER BY desc LIMIT 100","19206847920971","19206848310635","19206848625117"
"ua98","oa0","SELECT * FROM ""oa0"" WHERE  data < 486 ORDER BY desc LIMIT 100","19206848654545","19206849131071","19206849526394"
"ua99","oa99","SELECT * FROM ""oa99"" WHERE  data < 83 ORDER BY desc LIMIT 100","19206849549318","19206849945410","19206850266984"
"ua99","oa0","SELECT * FROM ""oa0"" WHERE  data < 409 ORDER BY desc LIMIT 100","19206850287498","19206850669181","19206850995490"
"ua99","oa1","SELECT * FROM ""oa1"" WHERE  data < 121 ORDER BY desc LIMIT 100","19206851016094","19206851402635","19206851724002"
"ua100","oa0","SELECT * FROM ""oa0"" WHERE  data < 343 ORDER BY desc LIMIT 100","19206851748529","19206852137947","19206852457594"
"ua100","oa1","SELECT * FROM ""oa1"" WHERE  data < 290 ORDER BY desc LIMIT 100","19206852478648","19206852863035","19206853152760"
"ua100","oa2","SELECT * FROM ""oa2"" WHERE  data < 160 ORDER BY desc LIMIT 100","19206853171652","19206853562496","19206853862716"
